Ulasan,Sentimen
"aplikasinya mudah untuk digunakan, mantap pokonyaa harus download dan coba yaaa",Positif
Aaaaaaaa bagus,Positif
Busyet iklannya... nakutin banget. Banyak banget🤦‍♂️🤦‍♂️🤦‍♂️,Negatif
Saya sudah topup buat beli koin tapi knapa tidak bisa di buka videonya kecewa banget udah mahal pula,Negatif
Very Good...👍👍👍,Positif
Gw beri 5 bintang nih walaupun skrng semua vidio gk bisa di putar,Negatif
Suka banget bisa nonton TV film dll,Positif
😘,Positif
"buruk, banyak kali syarat.. udah mau jg langganan berbayar.. d blokir, dengan alasan, terlalu banyak device..",Negatif
kerennn karna ada film magic 5 nonton ya guyssss,Positif
😘,Positif
Udah beli paket platinum kok masih ada iklan juga videonya -_-,Negatif
aplikasi uda berat...paket berlangganan paling murah 75k 30Hari.... kenapa gak ada paket 1 hari 5K ato 10K buat satu hari streaming juga nyedot kuota 😒😒,Negatif
Sangat berharga,Positif
Sangat buruk 👎,Negatif
Sebenarnya aplikasinya bagus tapi iklan nya banyak banget.,Negatif
😍,Positif
"Aplikasi bikin kesel,, bisa gak iklan tuh gak smpe 45 detik,,, udah iklan lama dua kali pula ngselin bnget,,,kterlaluan..bintang 1 aja gak betah sy pake apk ini",Negatif
Knpa tidak bisa di putar video nya?,Negatif
Jelek,Negatif
"Bagus ak suka ad flm kolosalnya jg Dan lagu"" yg bagus. mkasih bnget.",Positif
Layak dikasi rating jelek,Negatif
"Udah top up tapi waktu mau langganan saldo tidak masuk di aplikasi video, padahal saldo di google play sudah masuk, kok bisa ga sinkron antara google play sama aplikasi video nya",Negatif
"sudah langganan premium tp ga bisa buat nonton liga italia, layar malah loading terus padahal koneksi internet bagus, balikin duit guaa!!!!!",Negatif
Pembayaran lewat saldo play store sering tidak update dengan cepat saldonya,Negatif
Buruk,Negatif
Gak bisa nonton apaan nih aplikasinya eror dari kemaren gak bisa nonton apa2 mana udah bayar lagi benerin donk customer rugi nih,Negatif
Kecewa udah beli paket buat satu tahun tapi kaga bisa di pake,Negatif
saya sudah beli paket bundling im3 tp tidak aktif platinumnya,Negatif
Ketipu harga paketan,Negatif
Bagus...,Positif
"Tanggal 10 November hari ketiga berlangganan premier league yang 79.000 per bulan sudah hilang dan di minta beli paket berlangganan lagi, kecewa sama aplikasi ini",Negatif
"Sudah tukar poin my Telkomsel nggak bisa dipakai, fake voucher ini",Negatif
Ini Fitur Platinum Emang Broken Gini apa gimana ya ? Tiap lihat film yang di download pasti buffering malah seringnya muncul tulisan resolusi tidak tersedia,Negatif
"Langganan mahal tpi kualitas sangat tidak memuaskan ...streaming sering bgt terjadi gambar beku,cuma ada suaranyah doang...Uda laporan secara detail ke IG lewat DM,ke Gmail...tidak ada tindakan sama sekali...malah bnyak nanya ..kalau di kolom penilaian ini bisa kirim gambar,gw ss semua kendalanyah ..jangan cuma nyari uang dr pelanggan ,tpi loe jga harus benerin Kendala kendala nyah...gedek gw uang terbuang sia sia...loe kira gampang nyari duit",Negatif
Download krn pngen nnton zona merah.. tp trnyata lemotnya bukan maen...,Negatif
Apalah gj mau lihat video mental mulu ga jelas,Negatif
"BAGUS PLUS SUKA BANGETTT,BISA NONTON SEPUASNYA",Positif
Sy sdh beli paket platinum tp ga diproses...,Negatif
Udah sebelum nonton harus langganan dulu. Udah langganan masih aja ada iklan. Sangat mengganggu.,Negatif
nonton tayangan tv ❌ nonton iklan ✅,Negatif
"Ini gimana ya udah dua kali lohh beli paket premier league pake pulsa, pulsa udah kesedot paketnya belom aktif tolong dong jahat banget",Negatif
Kebanyakan iklan,Negatif
terlalu banyak bug,Negatif
Aplikasi tidak jelas sudah beli paket premium masih mesti beli paket ekspe lagi. Aplikasi gila uang asli.,Negatif
Bgus,Positif
Vidio kenapa sulit di buka,Negatif
uju mm ok IMB ok km ik bt by UK k on t n. ok yb oo oec BB lho on vnn Bu o Ki mm on by mm o ohIokb TV FiB up on yn UU m mi oo klp,Negatif
Kebanyakan iklan,Negatif
"parah iklannya gk ngotak, skip dikit langsung iklan jadi kuota hbs buat liat iklan bukan filmnya",Negatif
"Halo, ini buruk menurut saya. Saya berlangganan paket platinum per 23 Oktober 2024 yg pada saat itu nama paketnya Platinum yang sudah include premier league. Sekarang tanggal 10 November 2024 saya mau nonton premiere league malah disuruh beli paket lagi. Langganan platinum saya kemana?",Negatif
Aku tapil tito wasam.ku tapil lagi Awak awak cer amak Dapandai le kak,Positif
Ok,Positif
"Mengecewakan,loading lama banget,ngelag melulu,tlg di tingkatkan lg",Negatif
TEANSAKSI OTOMATIS..DOUBLE ..BISA GITU LANGGANAN 1 DI TARIFNYA DOUBLE 2 KALI DALAM SATU TGL CUMA BEDA JAM...,Negatif
KEBANYAKAN IKLANN SETIAP 5 MENIT IKLANNNNN GANGGU BANGET,Negatif
Buruk sekali banyak iklan nya download pun ber ulang-ulang tapi hasilnya buruk,Negatif
Inimah nonton iklan tai,Negatif
Mohon jngn sering ngeleg aj buat vidio,Negatif
Bagus banget dan juga keren apalagi bisa main game pokoknya the best deh buat video 😘🤗,Positif
"Kok streaming suka buffer ya, agak kecewa sih, nntonnya jadi setengah2",Negatif
Admin email Vidio sangat judes dan mengecewakan. saya bertanya kenapa channel Fashion TV hilang dan terus apa penggantinya karena channel berkurang tapi biaya langganan tetap. Sangat mengecewakan sekali Vidio.,Negatif
BANYAK BANGET IKLANNYAAAAAAA. INI DIKIT DIKIT IKALNNNNN MANA LEBIH DARI 30 DETIK WEEEEEEH BELUM LAGIIIIII 2 KALI IKLANNYAAAAA ADUHHHHHHHHHHHHH,Negatif
Buat streaming patah patah mulu,Negatif
"Apaan woy lagi nonton maintenance,gw bayar taik",Negatif
"Ini aplikasi jelek banget... Nonton disini,, film belum selesai kita udah disuruh bayar lagi.. Masih kerenan netflix.. Nyari duit ga bgtu juga kalo",Negatif
Bikin simpel dong apk na..rudet muter2,Negatif
"aku berlangganan paket ""serie A+ f1"" yang kena potongan harga jadi 15k, mungkin aja karna bersamaan platikan presiden baru, tetapi tidak bisa di nonton lagi padahal status masih aktif",Negatif
Saya sudah bayar 2bulan tapi gak bisa padahal sudah masuk uang nya ke vidio tolong gimana inih,Negatif
Min tolong di perbaiki yaa... Saya nonton vidio cuma 50 mnt dan iklannya juga banyak tpi masalahnya iklannya tuh 1 mnt🙏🙏🙏,Negatif
Lumayan,Positif
Jelek betul,Negatif
Bagus dan dapat menghibur diri,Positif
Aplikasi aneh,Negatif
Bawah dia kembali dengan allah doa aku yang tak pernah minta apa pun dari dirimu tulus hatiku ku akan menjagamu,Positif
"Aplikasi apaan ini main ambil2 saja saldo DANA secara otomatis tanpa ada konfirmasi. Tolong kembalikan saldo saya, saya tidak menggunakan aplikasi vidio lagi. Tidak ada guna saya membayar",Negatif
"Pihak vidio ini gak ada konfirmasi dulu mau potong saldo untuk pembayaran paket nya. Saya tidak ada berencana membeli paket selanjutnya, kenapa saldo DANA saya di potong tanpa ada pemberitahuan.. kembalikan saldo saya !!!",Negatif
Mantap,Positif
Sekarang gak seperti dlu lg hrus berlanggan dlu klok dlu enak lansung bsa nonton tan pants hrus langganan dlu kcwa sma aplikasi yang skrang,Negatif
"Jangan mau aplikasi ginian,edan banget udah mahal,iklannya panjang² ,mendingan aplikasi sebelah murah",Negatif
"Aplikasinya sekarang semakin buruk,terlalu kebanyakan iklan dan setiap iklannya selalu terjadi delay padahal jaringannya kenceng sungguh kecewa dengan kualitas apk video sekarang",Negatif
"Aplikasi ini sangat bagus,bisa melihat ulang sinetron atau melihat sinetron yg kita lewati.",Positif
Segar.kan.hape..sayah,Positif
jaringan wifi nya udah kenceng tapi tetep aja ke ngelag mulu,Negatif
Saya mau daftar langganan tapi pilihan paket nya tidak muncul,Negatif
"pembayaran paket saya gagal melalu pembayaran pulsa dengan alasan pulsa tidak cukup, padahal pulsa saya lebih dari yang harus dibayarkan untuk pembelian paket",Negatif
"Aplikasi vidio: sports, movies, series tidak ada kekurangan nya menurut saya",Positif
Aplikasi nya sebenarnya bagus cuman sayang iklan nya banyak banget makin di update makin banyak juga iklan nya nonton film durasi 1 jam jadi hampir dua jam karna 1 jam nya iklan udah gitu iklannya judi lagi,Negatif
semoga dilancarkan selalu rejekinya amin 🙏,Positif
terlalu banyak premium nyaaa mending nonton di aplikasi lain aja saran gw,Negatif
"Saya pake platinum mobile kenapa dikasih iklan hokben sampe 10 kali tayangan 😡 Saya uninstal nih, ganti aplikasi Hellow admin, mana bisa ss apk vidio 🤬",Negatif
Bagus,Positif
Woi,Positif
Semoga lebih maju,Positif
"iklan nya tolong, masa kalau mau skip video hrus iklan dlu sih mna iklan nya 2. Ini sangat menggangu dalam menonton jadi saya harap iklan nya tolong di hilangkan saja jika developer merasa tidak terbebani🙏🏻❗",Negatif
"Aplikasi nya bagus ko, cuman lebih ke banyakin di kualitas HD yh biar jernih",Negatif
Kebanyakan iklan wak,Negatif
Gue mau bayar nggak bisa asuuuuu,Negatif
"Seharusnya perpanjang langganan ada notif atau pemberitahuan dulu dong,, jangan asal ambil aja",Negatif
saya dowload aplikasi nya terus ada bacaan penyiapin paket buat mu itu apa ya?,Negatif
"Sudah makan kuota suruh beli paket premier pula, mending aplikasi sebelah cuma kuota tok yang dipake gak perlu beli paket ini itu bisa lihat film dalam waktu lama, lha ini baru lihat 6 menit disuruh bayar biar bisa lihat film sampe selesai apalah",Negatif
Transaksi koin nya ga masuk kenapa ya?,Negatif
Payah Terlalu banyak iklan😭,Negatif
Melakukan perpanjangan tanpa peringatan terlebih dahulu,Negatif
Yg lengkap semua setahun bisa di tv desktop DLL cuma 319 rb tapi sayangnya premier league gk bisa huft !!!,Negatif
Saya suka,Positif
"Aplikasi sampah,film jarang di update, sekali update film lama. Auto nyeles.. sampah banget",Negatif
"Asli aplikasi ini ngasih solusi yg gk mau ketinggalan film"" indonesia. . Bisa di buka dimana pun kita berada , mantep deh pkog nya😘😘",Positif
Kayanya APL streeming ini doang walaupun udah langganan tetep aja masih ada Iklan😂😂😂,Negatif
Sering bug,Negatif
Gua baru nemu aplikasi lintah darat. Gak ada konten mereka ini yg gratis. Semuanya bayar. Dari awal muncul sudah bisnis banget. Kita do'akan aplikasi tidak berkembang selamanya stak. Yg kayak gini mau nyaingin youtube. Mimpi.,Negatif
Mantap saya Berlangganan Buat Nonton BRI Liga 1 Sama Premier League,Positif
Nonton santuy dalam genggaman tangan,Positif
"Saya kasih bintang 4, karena saya udah beli paket sport tapi gabisa nonton",Negatif
😘,Positif
"Eh vidio, update terus. Ngelag2 nih benerin kenapa sih. Elah",Negatif
Terlalu banyak iklanya harusnya iklan itu hanya untuk siaran TV ssja,Negatif
Film nya seru,Positif
sangat bermanfaat dan membantu tks,Positif
Aplikasi ini memberikan data ke pihak ketiga...malas download nya....,Negatif
Lumayan bagus,Positif
Kecewa,Negatif
Bagus 🤩 untuk nonton filim seperti magic 5😅,Positif
Kenapa saya hanya beri 2 bintang karna aplikasi vidio selalu lambat/ ngelag,Negatif
"Pengalaman kurang bagus, live streamingnya ketika saya nonton motogp malah beda 1 lap lebih lambat dibandingkan menggunakan aplikasi lain, ketika saya lihat teman nonton langsung malah beda 2 lap... Siaran langsung kok gitu?",Negatif
Sangat mengecewakan gk lengkap gk ada RCTI Nyh,Negatif
"Terlalu Lelet lemot entot padahal udah bagus WiFi, aplikasi cokli entot satbang kuontowol angjingsubabikaukontol",Negatif
Aplikasi ini sangat bagus,Positif
Saya Sangat suka dengan Aplikasi Vidio,Positif
Apk yg tidak jelas saya udah gk berlangganan malah otomatis ke potong pulsa saya saya kecewa berat udah gitu harganya naik seenaknya....!!!!,Negatif
Natanggg seenak jidat mu aja main perpanjang otomatis. Sudah di nonaktifkan semua paket berlangganan tiba2 baru beli pulsa terpotong. Natangggg vangkeeee tolll,Negatif
The best,Positif
"Mau langganan aja ribet, gagal Mulu udah pake ewallet yg beda padahal",Negatif
Film itu itu terus gak ada pembaruan,Negatif
Ajing apk pelit harus berbayar pula ....,Negatif
Terlalu banyak iklann!!!!!!!!,Negatif
sangat buruk dan ribet makenya nyessel aku,Negatif
Bagus tapi sayang sekali harus berlangganan,Negatif
Empat bintang kerena ada yg kurang Kalo bisa edit ya,Negatif
Saya berlangganan vidio platinum pembayaran via pulsa tidak bisa.. mohon info nya gimana cara berlangganan?,Negatif
"Kenapa sekarang mau download harus berlangganan dulu, awal"" gag gini deh maksanya keliatan sorry Bintang 1 dulu",Negatif
Top,Positif
Mantap,Positif
Rami,Positif
Vidio,Positif
sangat bagus,Positif
"Kocak tiba² pembayaran otomatis,, harusnya ad pemberitahuan mau d lanjut ap ngk lah in tiba² saldo gopay kepotong dan tiba² ad transaksikan pembayaran. Kan aneh .. beda emang sama aplikasi sebelah",Negatif
gaje tolol,Negatif
bagus,Positif
Tidak bisa pakai wifi kalo pakai data cepet banget abis nya satu vidio 1gb lebih,Negatif
Bagus,Positif
Untuk saran aja nih kalau bisa tuh jaringan video di upload lagi soalnya saya beberapa kali nonton selalu terjadi masalah jaringan dan banyak sekali iklannya mohon untuk di apus iklan iklannya terimakasih🙏,Negatif
"biasa tnggal 28 pemotongan nya, terus kenapa pas saya mau beli paket ngak di potong terus di tanggal tersebut, ini udh loncat ke tgl 5 baru pemotongannya berjalan, di sini saya di rugikan.",Negatif
"Sistem pembayaran play store lebih meribetkan dari app store. Saya langganan di android gagal mulu, beda hal dgn di iPad",Negatif
"Tolong kembalikan chanel global tv, MNC, dan RCTI Chanel yg ada kartun untuk di tonton sebagai hiburan, bukan hanya chanel"" Yg berisi sinetron dan acara yg tidak bermanfaat",Negatif
Good,Positif
SUDAH BELI PAKET BERLANGANAN TAPI TIDAK BISA DIGUNAKAN!!!!,Negatif
Saya sangat mengagumi vidio ini...🌹,Positif
Bagus Banget Tapi Sayang Karena Kebanyakan Iklan Tolong Di update Lagi Versi Terbaru Tanpa Iklan,Negatif
"Untuk radio prambors dll kalau bisa tingkat suaranya di tingkatkan dan beri opsi pilihan high atau lebih , supaya suara dari musik yang didengar terdengar merdu dan bagus di sound speaker",Positif
⭐⭐⭐⭐⭐,Positif
ungu,Negatif
"buffering mulu patah parah setiap nonton, padahal internet udah kenceng",Negatif
Mengecewakan,Negatif
mancet mancet,Negatif
"lemot banget ni aplikasi, lagi enak enak nonton macet sampe setengah jam, padahal koneksi wifi saya bagus, ga ada masalah, mana ada beberapa film di suruh nonton ekslusif harus bayar lagi per episodenya, langganan tiap bulan makin naik, kalo bisa ga rating bintang ga saya rating nih apk, minus bintang 5 dah, dasar tikus, gerogotin duit rakyat,",Negatif
"Film2-nya bagus, serial Indonesia keren2",Positif
Thethe to the same way that the most of the,Positif
"Udah beli paketan premium tapi ngga bisa dipake ,padahal udah ada notif pembayaran ,gimana mau komplain kemana udah email tapi ngga ada kejelasan guys 😭",Negatif
Sangat baik,Positif
"Halo semua, semoga sehat selalu dan harimu bagus. Saya sudah berlangganan di aplikasi ini sejak 29 Oktober 2024. Kualitas gambar cukup bagus, grafiknya sudah di atas 750k ke atas engga buriklah, dan fiturnya juga lengkap seperti ada TV, anime, dll. Tapi kekurangannya, koleksi film masih terbatas, jadi tidak semua film tersedia. Terlepas itu saran atau kiritikan ini hanya untuk temen-temen yang mau berlangganan harus di pikir² dulu. Terimaksih,,",Negatif
SAMPAH,Negatif
"Fitur langganan penuh bug, sudah berhenti langganan tapi saldo masih terpotong. Tolong selesaikan masalah ini! Lihat dari ulasan yg lain, sepertinya masalah ini tidah hanya terjadi pada saya, apakah ini disengaja?",Negatif
"Masalah yg sering saya laporkan tidak pernah ada solusi yg bagus, pihak video sangan mengecewakan, hampir setiap minggu saya lapor di email tapi masalah selalu saja sama dan tidak ada perubahan sama sekali sampai detik ini, sangat mengecewakan",Negatif
Bagus saya sangat puas,Positif
"Alamat: Jalan, Apt, Kota, Daerah, Provinsi,",Positif
Bagus....,Positif
Metode pembayaran buruk coba metodenya di permudah pasti banyak yg berlangsung seharusnya ada virtualkon biyar buat bayarlabih mudah,Negatif
Baru Coba Nti Klo Bagus Ku Tambahin Star Nya,Positif
"apk nya ngapa jadi lemot banget dah? loading lama malah muncul tulisan masalah jaringan, jelas² pake wifi lancar. tolong dong diperbaiki biar ga lemot mulu",Negatif
Kebanyakan iklan,Negatif
Udh beli langganan premium padahal tapi msh ada iklan nya juga sihh???? Aneh banget,Negatif
semakin kesini semakin mahal dan setiap kali lihat film atau bola berhenti sendiri dan sering keluar2 sendiri untuk vidiocom tolong di tingkatkan lagi pelayanannya dulu liga inggris perbulan paling 53ribuan sekarang harganya mahal,Negatif
"Tolonglah Opsi untuk berlangganan 1 tahun di adakan lagii jangan cuma 30 hari saja, saya penonton setia di Vidio terutama Bola premier league+serie A tolong opsi berlangganan 1 tahun di adakan lagi bagi yang paket Platinum+Premier League+Serie A+F1, biar tidak bolak balik perpanjang dan jadwal pertandingan untuk 30 hari setidaknya ada 4-5 pertandingan masa iya harus di anggurin paket berlangganan nya",Negatif
"TAIII, dah bayar buat berlangganan 1 bulann. Pas nonton cuma 15 menit dah nya gak berlanggannan lagi gak jelass",Negatif
Membaya pakai Telkomsel harga 87000 dan saldo saya 98000 tapi tidak cukup 😂😂😂,Negatif
Tdk bsa klo menggunakan wifi,Negatif
"kalo perpanjang otomatis tuh sebelumnya ada notif dong jangan tiba"" langsung di potong aja tuh saldo gopay, sama aja maling lu kalo gitu cara lu anjg",Negatif
semua aj premium gilak,Negatif
"Mau nonton bola ribet amat, mutar2 aja terus.",Negatif
lemot video film me dibuka muter muter terus,Negatif
"Ada baik nya ada pilihan paket per pertandingan, karena saya hanya ingin menonton 1 klub saja..",Negatif
"Tolong untuk diperbaiki lagi aplikasinya. setiap buka aplikasi dan nonton video pasti ada notifikasi suruh langganan, padahal akun saya sudah berlangganan paket platinum. ganggu banget notikasinya.",Negatif
Aplikasi payah Udah bayar laganan tanggal 28 Oktober kok saldo ke tari lagi di tanggal 3 November.,Negatif
"Ini vidio kenapa ya, paket premier league masih aktif kok ga bisa buka live pertandingan",Negatif
Mending apk sebelah,Negatif
Dibuat kecewa sama apk ini mana paket langganannya mahal lagi,Negatif
"Aplikasi sudah bagus, cuman ga tau kenapa saat nonton live sepak bola suara ilang ilang, padahal signal bagus",Negatif
👍👍👍,Positif
Good,Positif
"Beli paket diamond+ primer league dengan harga 150 ribuan untuk semua perangkat, yg aktif cuma liga inggris doang, nonton serie a harus nambah lagi. Belum tau liga lain gimana, asu",Negatif
"kak inj bisa melakukan refund ga? karna vidio aku ke prem otomatis, mana sisa saldo terakhir. tolong bngt yaa kak",Negatif
Ini sangat seru saya bisa main game smbil nonton bola atau kartun,Positif
Server kek 💩,Negatif
Bagusss,Positif
"aplikasi tolol, ngotak dong gua nyari duit buat apa, seenak nya aja berlangganan otomatis, di kira gua nya banyak duit kali",Negatif
👍👍,Negatif
Paket berlangganan jangan otomatis Cook. Sudah di batalkan masih aja terbayarkan. Kasi 2 bintang aja,Negatif
"Paket langganan satu tahun kok gak ada lagi, kecewa",Negatif
Mahalllll,Negatif
Suka saya Vidio,Positif
BUSUK. Susuah streaming.. kagak bisa via PC. 👎👎👎👎👎👎,Negatif
suka banget !,Positif
Iklan muncul terus,Negatif
"Kenapa sekarang semua siaran tv gak bisa di tomton, cuma indosiar sama sctv aja, pakai vpn masih gak bisa juga. Padahal sebelum nya bisa, meskipun gak pakai vpn. Kebetulan saya di luar negeri, jd nyesel di perpanjang lagi.",Negatif
"Aplikasi busukkk,, gak berguna,,",Negatif
Bgus,Positif
"Bgusss , bnyk eps nyaaa yg uruttt",Positif
"kata nya semua film ada kok gua cari anak jalanan kagak ada, gimana sih",Negatif
"Sebenernya aplikasi vidio udh bgus, tp syng gk bsa nonton hasil EPL dgn extended mini highlight, hanya bsa nonton yg durasi pendek doang. Tolong klo mau lbh konsisten, coba vidio liat keluhan tmen2 yg suka EPL klo nonton extended highlight kan efek serunya da tp klo cma durasi pendek JD GK enak. Moga ke depannya bsa lbh baik lg",Negatif
"saya sangat amat menyesal mendownload aplikasi ini, saya sudah beli premium untuk live stream bola dengan harga 299k namun server selalu down dan membuat lag di setiap pengguna..saya kira dengan harga yang fantastis bisa membuat menonton live stream bisa mencapai kebahagiaan yang simetris, namun ternyata tidak..saya menyesal jangan download aplikasi ini untuk menonton film/Livestream lebih worth it Netflix/Disney karena film yang tersaji lebih baik dengan harga yang lebih seimbang dengan server",Negatif
punyaku kok nggak ada rcti apakah hpku yg rusak,Negatif
Trimakasih sukses garuda indo sia,Positif
Saya suka ini,Positif
"Paket seri A+F1 masih aktif,tapi siaran tak bisa di tonton,kacau",Negatif
Aplikasi nya keren👏👏,Positif
"Ahhh..! Mau nonton bola ajah ribet amat.. ujung"" suruh bayar.. pdhl kuota ada.. seharusnya kasih tulisan.. aplikasi berbayar bulanan.. biar jelas min ngedimin.👎",Negatif
Saya udah langganan kok gak bisa ditonton yaa malah suruh langganan lagi,Negatif
"Saya sudah berlangganan paket platinum, tapi tetap tidak bisa mengakses live streaming premier league.",Negatif
Siiiiipppplah,Positif
Tolong donk jaringannya kk,Negatif
Saya benci aplikasi ini!!,Negatif
Sudah di perpanjang. Koc masi blom bisa nonton premier League. Knpa bisa di jelaskan,Negatif
"Sangat disayangkan,sudah lama berlangganan tapi sekarang makin tidak jelas.pembayaran 139.000+ppn bayar jadinya 188.000.ini hitungannya darimana.ppn hanya 15.000.mudah2an ada aplikasi lain yang bisa langganan liga inggris.sangat tidak masuk akal aplikasi ini sekarang.",Negatif
"Belum pernah beli paket, kemahalan kalau cuma buat nonton bola doang, coba kalau ada paket harian pasti laku, soalnya liga sepakbola juga seminggu sekali otomatis sebulan cuma 4x itu juga nonton 1 tim doang yg di sukai",Negatif
Terlalu banyak memakan data internet saat pemutaran video,Negatif
"Nonton anime di laptop ngelag terus, sampai setting low. Mohon diperbaiki",Negatif
Oke Lanjut,Positif
Sangat bagus,Positif
Happy one.,Positif
Ini bagaimana ya saya koq bisa berlangganan?..,Negatif
"Sering eror filenya kalau udah di download di resolusi 720p, pas mau di tonton bisa di 720p untuk beberapa awal episode seperti 1-5, tapi setelahnya selalu tidak bisa dan selalu muncul tulisan perangkat anda tidak mendukung di resolusi 720p. Kenapa awal-awal episode bisa di tonton dengan kualitas tinggi tapi episode pertengahan dan akhir selalu tidak bisa ditonton dengan resolusi tinggi. Untuk film dengan kualitas tinggi tidak pernah ada masalah hanya series saja yang sering bermasalah.",Negatif
"Saya ksih bintang satu,, setelah update, aplikasinya jadi Ampas,, seakan2 kta di paksa untuk memenuhi premium,, klau gak premium kta gak bisa nonton video dengan lama, selain itu iklannya mengganggu banget,,",Negatif
Tolong dong diperbaiki lagi,Negatif
"gajelas banget ni apk sumpah udah bayar, gabisa pula nnton wkwk",Negatif
Knpah g bisa d liat video ny awal ny sih bagus masa harus premium dulu hadeuhh aplikasi apa inih🥴,Negatif
"Bangke Kenapa DI Aplikasi Ini Saat Mau Replay Di RTV Malah No Replay, Tolong Diperbaiki Segara Ya, Makasih Aku Kasih Bintang 4 Dulu",Negatif
2 november 2024. Saya instal apk vidio. Kalau nonton layar penuh di hp kok patah patah live tv nya. Tolong di update lagi apk vidio ini ya dev. Agar nonton live tv nya kedepanya gk patah patah lagi,Negatif
error teroossss,Negatif
uda langganan tpi gaada pdhl uda bayar,Negatif
Ko pake wifi loading trus sih..GX bisa nonton .heran deh....y udh saya hapus vidio nya...kesel tau,Negatif
Apl celeng iklan diutamake tontonan no.keri asu owg,Negatif
Saya tadi malam membayar paket platinum via hp tapi knp saya tdk bisa menonton siaran langsung persib. Dihp sy tertulis harus menghubungkan ke tv saat sy hubungkan malah diminta lagi berlangganan,Negatif
NONTON IKLAN AGODA SAMPAI BOSAN !!!! LEBIH BAIK YANG LAIN,Negatif
Apk tai,Negatif
"Saya tidak merasa berlangganan, namun saldo saya di ambil dengan aplikasi ini. Dengan notifikasi berlangganan!",Negatif
"Gak lengkap nih, film Indonesia yg aku cari aja gk ada",Negatif
Kenapa langganan tidak bisa,Negatif
Banyak bgt iklannya,Negatif
Baik,Positif
"Wifi bagus youtube 180p lancar parah semua sosmed lancar parah download sampe 8.2mbps,, tapi video muter terus alesan jaringan mana udah beli paket lagi tolol",Negatif
aplikasi tempe. semua harus premium. kapitalis babi,Negatif
"kolom pencarian tolong di permudah,, untuk mencari filem biar gampang muncul nya",Positif
Bagus banget,Positif
Lumayan bagus selama saya memakainya,Positif
Vidio membagongkan sudah bayar paket tidak bisa d buka,Negatif
Macet macet saya penggemar motogp merasa dikecewakan 😡😡😡😡😡😡😡,Negatif
Nggk usah di download kalo nggak mau kecewa ini pemutaran vidio nya sesedikit iklan iklan terus yang ditonton,Negatif
Sangat bagus,Positif
Sya kecewa dngn apk ini stiap mau dftar paket pmbayara sllu lemot pdhl sinyal full..tpi gk muncul pket platinum dll,Negatif
Kenapa episode ganteng ganteng serigala di episode 167 sampe seterusnya kok di acak episode nya dan menit nya gak full episode tolong perbaiki ya,Negatif
Iklannya banyak dan durasinya lamaaaaaa,Negatif
Kaga jelas ni,Negatif
Apk tolol nggak lengkap film nya,Negatif
APLIKASI PENIPUAN...BELI PREMIUM TANGGAL 27..EH PAS TANGGAL 1 UDAH DISURUH BERLANGGANAN LAGI..,Negatif
Good app,Positif
Update dong film nya,Negatif
"Buffering parah, apalagi waktu nonton live, tolong diperbaiki",Negatif
"experienfe jelwk banget saat klaim bonus dr operator mesti uninstall app, klaim via browser, install ulang GAK BISA YA NARUH FITUR CLAIM REWARD DI APLIKASINYA?",Negatif
"sepertinya perlu ditambahkan button untuk melanjutkan proses transaksi langganan yang tertunda. apalagi kalau transaksi nya sudah pakai diskon voucher, kan gak bisa dipakai lagi vouchernya.",Negatif
Vidio sekarang ada gangguan.,Negatif
Saat nonton liga 2 harus bayar paket premium dan kalok kita tidak bayar paket premium kita tidak bisa nonton dan untuk yang tidak punyak duit gimana,Negatif
Fdidio,Positif
"Iklannya gak beraturan,",Negatif
Nanya min kok vidio sekarang udah beli paket sports kok masih da ikhlan nya?,Negatif
"pada tanggal 25 Oktober 2024 saya telah melakukan pembayaran paket tontonan aplikasi VIDIO melalui OVO saya ke Google Play sebesar Rp 54.390,- ternyata pihak Google Play tidak menyetorkan uang saya admin ke aplikasi Vidio. yang mau saya tanyakan dikemanakan uang saya? saya punya bukti pembayarannya di aplikasi OVO saya. mohon pihak Vidio membalas informasi saya ini. terimakasih.",Negatif
Aplikasi ini sangat bagus dan saya sangat menyukai menggunakan aplikasi ini...saya sudah berlangganan juga dan saya mau bertanya apakah aplikasi ini jika saya mendownload film dari aplikasi video bisa tersimpan ke galeri???,Positif
masa ada k drama yang hilang padahal udah exited nonton di pencarian juga udah gak ada lagi,Negatif
Apk sering lag,Negatif
HATI HATI BERLANGGANAN DI APK INI SETIAP BULAN AKAN MENCURI SALDO ANDA JIKA ADA SEKALI BERLANGGANAN SALDO ANDA AKAN TRUS MENERUS DI AMBIL WALAUPUN SUDAH DI BATALKAN HATI HATI,Negatif
gak tau kenapa tapi kalau mau nonton mesti nunggu loadingnya lama padahal jaringan nya bagus,Negatif
"Banyak hal yang perlu diperbaiki mulai dari kualitas streming yang boros kuota, mode lanjutkan tontonan masih tidak sesuai",Negatif
🥷,Positif
payah,Negatif
Vidio ini sekarang membayar nggak seperti dulu gratis seru dan sekarang aplikasi ini jelek,Negatif
Saya kasih bintang lima karna bagus soalnya aku liat magic 5 di sana kalo aku gak nonton di TV dan aku liat bts magic 5 di sana juga,Positif
Coba dulu,Negatif
Pulsa udah kepotong Krn berlangganan. Tapi pas buka vidio gak aktif.. aneh banget Solusinya gimana ini? Saya mau pulsa saya balik kalau emang gak bisa,Negatif
Keren,Positif
"jangan pernah berlangganan, bikin boros bgt",Negatif
Kok GK ada gtv,Negatif
