Rating,Ulasan,Sentimen,Tanggal
5,Sip Vidio,Positif,10/29/2024 10:22
1,Banyak iklan ga jelas,Negatif,10/29/2024 9:23
5,keren pas saya coba di crhrom apa lagi kalau udah di download pasti makin banyak film nya,Positif,10/29/2024 9:08
3,nyedot kuotanya banyak banget,Negatif,10/29/2024 8:34
5,mantap,Positif,10/29/2024 7:40
5,bgus,Positif,10/29/2024 5:40
5,Bagus sekali,Positif,10/28/2024 22:56
1,"Tolong diperbaiki cara pembayaran nya, Tgl 26 Oktober saya baru saja beli paket Platinum. Tiba tiba Tgl 29 Oktober waktu subuh pagi hari ada notifikasi klo saya memperpanjang paket platinum dengan langsung memotong pulsa yg saya punya. Tanpa ada verivikasi persetujuan yg saya berikan..",Negatif,10/28/2024 22:11
1,Wah ngak bener nih malah di suruh bayar kenapa kok tiba tiba di suruh langganan ya apa apa di duwitin gua ngak bisa nonton full magic 5 ni gara gara di suruh bayar kalau gini caranya bakal pada hapus ni aplikasi dasar mata duwitan,Negatif,10/28/2024 20:37
1,Kalau mau rating tinggi Minimal harga jgn makin lama.makin naik bos.dari 40rban smpe 123rb.gila bnget naik nya.padahal make aplikasi ini cuma mau nonton acara bola. Tolong lah harga nya kalau mau dinaikin yg sewajar nya🙏,Negatif,10/28/2024 18:46
5,Sangat membantu,Positif,10/28/2024 18:21
1,Tolong turuni lah harga nya lu itu bikin kita rugi mending aja kalo apk ini dapet untuk,Negatif,10/28/2024 18:08
1,"Film"" basi, garing untuk ditonton, Gak ada film terbaru, Menyedihkan",Negatif,10/28/2024 16:40
1,Loba iklanan tai,Negatif,10/28/2024 16:34
2,"Tolong kurangin iklannya, jangan tiap detik iklan, ampe muntah nontonin iklan terus Tolong diperbaiki.",Negatif,10/28/2024 16:09
2,Apaaan ngelag Mulu videonya . Padahal udh nnton pake wiffi tapi bapuk bgt . Bentar² keluar dr film yg lagi ditonton 👎👎👎👎👎,Negatif,10/28/2024 15:08
5,Pengelaman kami bisa buka alat lekttonik,Positif,10/28/2024 14:41
3,"Kasih bintang 3 , karna ga bisa nonton Persib dgn gratis harus berlangganan, apalagi yg ga punya uang bagaimana mau nonton",Negatif,10/28/2024 13:54
5,"Aplikasi ini sangat bagus,kita bisa nonton TV film dan lain-lain,kalau mau tau silakan instan,pasti merasa puas.",Positif,10/28/2024 13:22
1,"Beli paket platinum 1 tahun,, tapi tidak bisa untuk nonton BRI liga 1... Padahal masih aktif paket nya",Negatif,10/28/2024 13:06
1,Buruk sekali,Negatif,10/28/2024 12:59
5,Mantap,Positif,10/28/2024 12:56
1,"Sudah bayar namun langganan hanya berlaku 1 hari, alamat email verifikasi tidak bisa terdaftar dengan dalih sudah terdaftar padahal ya itu memang akun email saya sendiri",Negatif,10/28/2024 12:53
1,Terlalu banyak iklan. Harga paket juga mahal kali,Negatif,10/28/2024 11:56
3,"Aplikasi aneh, udah download film sampai 100 persen malah sering terjadi gagal unduh. Tolong diperbaiki dong.",Negatif,10/28/2024 11:55
1,Sudah beli paketan paltinum tetap ngak bisa nonton tayangan premier,Negatif,10/28/2024 11:33
1,"signal bagus tapi kualitas siaran di aplikasi khususnya olahraga apalagi yang siaran langsung sering buffering, mohon diperbaiki",Negatif,10/28/2024 11:09
3,"Saya kira ketika berlangganan disini ada video lama, mau nostalgia eh... Ternyata tidak sekomplit yang saya kira",Negatif,10/28/2024 10:32
1,Gabisa instal apk,Negatif,10/28/2024 10:24
1,"Ga jelas, tiba-tiba saldo gopay ilang ternyata malah masuk ke berlangganan vidio padahal beli juga nga",Negatif,10/28/2024 9:03
1,Apk sampah,Negatif,10/28/2024 4:48
1,Banyak iklannya,Negatif,10/28/2024 4:09
1,Harga paket ko makin murah yaa🤣 Kadang aja kaga jls tiba tiba pulsa kepotong buat paket yg entahh aktif juga kga .. Kacau! Kaga bakal gua paket lagi nih aplikasi pulsa gua kesedot trus,Negatif,10/28/2024 3:13
3,Iklanya banyak bener parah,Negatif,10/28/2024 2:45
5,👍,Positif,10/28/2024 2:09
1,Kebanyakan film sebelum masesi asuuu balikin duit gw rugii anjingg,Negatif,10/28/2024 1:21
1,Makin update makin lemot dan kebanyakan loading 😒,Negatif,10/27/2024 22:27
1,Lagi nonton big match malah black screen hadeh,Negatif,10/27/2024 18:35
1,Apaan ini. Nonton live streaming premier league muter mlulu. Padahal jaringan juga stabil.,Negatif,10/27/2024 17:31
1,"Saat live sering buffer, tayangan putus"" padahal kualitas internet bagus, sangat tidak layak",Negatif,10/27/2024 17:25
1,Berlangganan sudah dibayar error uang gak kembali,Negatif,10/27/2024 17:12
1,"Kalo kerja sama Indosat yang jelas, uda beli paket include Vidio kaga bisa dipake",Negatif,10/27/2024 16:34
1,Bungul sdh bli masih aja dsruh berlangganan asuw,Negatif,10/27/2024 15:24
1,Ga bisa di gunakan untuk di beberapa perangkat kayak dulu,Negatif,10/27/2024 15:22
1,"Apaan sih, udah langganan berbayar pas mau nonton EFL sesuai jadwal dialihkan. Kalo emang ga mau nayangin gausah di tampilin jadwalnya dong, ga konsisten 👎👎👎👎👎👎",Negatif,10/27/2024 15:14
5,Jossss menyala,Positif,10/27/2024 15:05
1,Tidak ada rcti njir,Negatif,10/27/2024 15:03
1,"Buka di HP (BUFFERING) loading, buka di SmartTV loading juga.. Padahal jaringan bagus, Netflix saja berjalan dg baik",Negatif,10/27/2024 15:01
1,"1. Vangke nih apk, seenaknya saja perpanjang langganan tanpa pemberitahuan. Padahal Sudah di ""hentikan"" lwt PS .. malah ""nyolong"" dalam apk-nya 2. Kasih naik harga langganan tanpa pemberitahuan 3. Setelah berhenti berlangganan, meski masih dalam bulan berjalan.. resolusinya ""dipaksa"" pake yang rendah",Negatif,10/27/2024 14:46
5,Ok,Positif,10/27/2024 13:35
1,Udah bayar langganan mahal nonton nge frezz nge freezzz gak gunaa benerrr bikin aplikasi,Negatif,10/27/2024 13:33
1,Apk apa ini pas nonton channel lokal bnyk kali iklan apknya,Negatif,10/27/2024 12:24
5,DiYAN KOSTA 🇨🇷 FB MASDIANOOR 🇸🇬🏔️,Positif,10/27/2024 11:53
5,Keren,Positif,10/27/2024 10:50
1,Udah beli platinum tapi gak bisa diliat yang paket platinum nya kecewa,Negatif,10/27/2024 9:40
1,jelek sekali vidio nya,Negatif,10/27/2024 7:14
1,"Terlalu banyak banget iklan muncul ketika awal buka. Paket langganan juga mahal. Tv tidak lengkap, uninstall.",Negatif,10/27/2024 4:40
3,"klu bisa sinyal nya di setbilkan, ngilang2 sinyal,",Negatif,10/27/2024 4:33
5,Ok banget bisa nonton apa saja,Positif,10/27/2024 3:30
4,Sering nge lag padahal jaringan lancar jaya,Negatif,10/27/2024 2:15
1,Apk buruk filmnya juga ga lengkap udah ga sekeren dulu,Negatif,10/27/2024 1:21
3,"Kak kenapa fitur redem kode ovo gaada ya,ini saya sudah terlanjur beli paket vidio premium di ovo 43rb, tspi mau redem kode nya ga ada pilihannya, tolong solusinya saya tunggu balasanya, kalo ada jawaban saya kasi bintang lima",Negatif,10/27/2024 1:05
3,"Tolonglah masa sekelas aplikasi bagus kayak gini gak bisa hapus history tontonan, tolong update lagi lah",Negatif,10/26/2024 23:54
3,"Terlalu banyak iklan saat sedang menonton, dan selebihnya sangat bagus",Negatif,10/26/2024 23:31
1,"Mendapat penawaran paket liga italia + F1 di awal tertulis SUDAH TERMASUK PAKET PLATINUM dengan harga 50rb an..setelah berlangganan ternyata tengah malam saldo gopay terpotong lagi 45rb an untuk paket platinum sendiri..mau alasan bahasa marketing atau apalah yang pasti saya merasa dibohongi,apalagi setelah itu rincian paket yang dipilih menghilang dari aplikasi....fix ini terakhir menggunakan vidio..terima kasih semoga berkah walaupun sudah pasti tidak akan berkah dengan cara seperti itu..",Negatif,10/26/2024 23:30
3,Langganan vidio diamond di im3 sudah ga ada ya?,Negatif,10/26/2024 20:35
1,"Jelek banget, apalagi kalau di pake di tv. ga jelas tayangn yng harus ada ini ga ada. Beli paketan juga kadang susah",Negatif,10/26/2024 20:13
1,Tiba tiba sinyal suka ilang,Negatif,10/26/2024 19:58
4,"Bermanfaat bagi saya, walaupun harus berbayar tidak jadi masalah, yang penting saya bisa menonton bola dan lainya yang saya suka.",Positif,10/26/2024 19:57
1,yutub FHD terbuka ini mau nonton live aja buffering terus nyesal beli paket langganannya kalo bisa di maki udah kumaki habis habisan ini,Negatif,10/26/2024 19:53
1,"Jaringan bagus, tapi nonton el clasico buffering doang",Negatif,10/26/2024 19:51
1,Buruk. Tayangan yg diberikan selalu ngelag,Negatif,10/26/2024 19:51
1,lag saat menonton laliga,Negatif,10/26/2024 19:50
1,gak masuk akal makai vip,Negatif,10/26/2024 19:49
1,langganan kerasa ga premium karna selalu lag saat menonton siaran bola yang stream lumayan banyak. sudah slalu dikomplain tapi penanganan lambat,Negatif,10/26/2024 19:46
1,Gak betul lah,Negatif,10/26/2024 19:37
1,pelayanan kurang memuaskan,Negatif,10/26/2024 19:27
1,Aplikasi taaaik,Negatif,10/26/2024 19:26
1,Permasalahan saya kok blm selesai dan banyak bug nya,Negatif,10/26/2024 19:20
1,aplikasi aneh beli premium supaya bisa di tv eh ternyata scam,Negatif,10/26/2024 19:18
1,"kualitas streaming kurang baik , saat jam 02.13 tgl 27/10 saat tayangan live ral madrid vs barcelona. mohon diperbaiki lagi karena kami customer subscribe paka uang",Negatif,10/26/2024 19:14
1,"LAG DI PC/TV TERUTAMA PAS BIG MATCH (EL CLASICO DLL) , UDAH LANGGANAN MAHAL2. FAKK LA👎👎👎👎👎👎👎👎👎👎",Negatif,10/26/2024 19:14
1,Sering lag,Negatif,10/26/2024 19:10
1,woy benerin napa lag banget,Negatif,10/26/2024 19:09
1,Sudah langganan paket diamond 139rb ternyata el classico liga spanyol tidak disiarkan....ini penipuan,Negatif,10/26/2024 19:06
1,"Tadinya mau berlangganan tapi liat komennya jelek ga jadi deh, aplikasi sampah banyak iklan",Negatif,10/26/2024 18:40
5,Ok,Positif,10/26/2024 18:01
3,tambahin lagi konten anime,Positif,10/26/2024 17:35
1,apk busuk gak bisa nonton gratiss pepek,Negatif,10/26/2024 17:16
1,DURASI IKLAN NYA JNG LAMA2........,Negatif,10/26/2024 16:10
2,perasaan dulu iklannya ga terlalu banyak sekarang mau di percepat ada iklan lagi,Negatif,10/26/2024 16:07
3,"Sekarang kalau mau nonton sepakbola harus langganan dulu,padahal sebelum nya kan tidak perlu langganan",Negatif,10/26/2024 15:48
1,Pembayaran melalui pulsa 3 selalu gagal,Negatif,10/26/2024 15:48
1,"Aplikasi sangat tidak profesional, bikin kebijakan seenak jidatnya. Langganan paket belum habis masa aktifnya sudah tidak bisa nonton lagi, alasanya harus di barengi dengan paket platinum. Harusnya kalau bikin kebijakan itu ya harus nunggu paketnya habis dulu.👎👎👎👎",Negatif,10/26/2024 15:08
3,Awal² suka sma apilikasi ini tpi iklannya bnyak bgt jdi emosi 😣,Negatif,10/26/2024 14:58
1,"Ini kenapa ya ko jadi konsumen kaya punya hutang ya langganan???? Padahal kalau mau nonton kan bayar dulu begitu langganan habis langsung potong saldo ovo/shopee dll, ehh begitu ga ada saldonya di statement terhutang!!!! Aplikasi Busuk sekali tiba-tiba langsung diblok metode pembayarannya, emangnya kita ngiget2 disitu ada saldo buat nyiapin langganannya... kenapa nggak pakai VA kayak dulu!!! Kecewa!!!",Negatif,10/26/2024 14:56
1,apk goblog kudu wae bayar tolol,Negatif,10/26/2024 14:54
1,Benar2 ini app masa beli paket premier leage gagal terus dengan alasan pulsa tidak cukup,Negatif,10/26/2024 14:38
1,"Sangat menyesal beli paketan 159.000 paket Primer+ platinum (semua perangkat) Tapi setelah aktivasi tidak ada yg bisa di putar/stel sesuai paketan di TV android,hanya bisa di handphone 👎👎👎👎",Negatif,10/26/2024 14:27
1,"premier league ga ada yang sebulan, menjebak. mudahan cepet bangkrut",Negatif,10/26/2024 14:22
1,Pasudah bayar paket premium lewat gopay tapi belum dapet paket premium,Negatif,10/26/2024 14:21
1,"Saya udah isi pulsa tapi ga bisa masuk ke vidio katanya nomor saya diblokir, ini maksudnya apa ya????",Negatif,10/26/2024 14:15
3,"Makin mahal liga inggris. Dari 30 rb, 88 rb skrg 154 rb perbulan",Negatif,10/26/2024 14:11
1,Paket aktif tp tdk bs ntn,Negatif,10/26/2024 14:11
1,Selalu stuck di halaman depan kalau mau nonton di smart tv !,Negatif,10/26/2024 14:11
1,Sudah beli paket premier tp blm bisa nnton liga inggris tp liga 1 bisa,Negatif,10/26/2024 13:43
5,Semoga ada drakor dan Korea Movie baru bulan depan. Saya suka sekali download untuk ditonton offline. Terimakasih vidio.,Positif,10/26/2024 13:25
1,Terlalu banyak iklannya.jadi gak mot yg mau nonton,Negatif,10/26/2024 13:19
4,Tahun ini gk nayangin v-league tah? Padahal saya sudah nunggu2 malah gk ada di aplikasi ini.,Negatif,10/26/2024 13:13
1,gw udh punya saldo lebih tapi masih saldo anda kurang kenapa ya?,Negatif,10/26/2024 12:34
1,Kebanyakan iklan Iklan nya juga terlalu lama Langsung tak hapus aplikasi nya,Negatif,10/26/2024 12:21
5,👍,Positif,10/26/2024 12:01
5,Bagus,Positif,10/26/2024 11:58
1,Film nya itu2 aja.Setiap mencari film yg di inginkan selalu tak tersedia,Negatif,10/26/2024 10:45
2,deposit pulsa saya cukup untuk berlangganan tapi kenapa kok tidak bisa padahal biasanya lancar...,Negatif,10/26/2024 9:06
5,Hilangkan iklan,Positif,10/26/2024 9:01
2,"kenapa gagal memuat terus sih?, pdhl jaringan sya bagus, wifi nya ga lemot sama sekali, tp dibilang gagal memuat, gabisa nonton lagi jadinya, perbaikin lah, dan juga iklan nya banyak bngt aplagi yang ""Djoy"", namanya itumah nonton iklan bukan nonton film yg di tonton.",Negatif,10/26/2024 8:08
1,"Udah bela2in beli paket platinum, eh pas baru nonton masak disuruh langganan lagi. Jadi yang udah dibeli itu apa? Kacau ini aplikasi",Negatif,10/26/2024 6:43
1,Iklan terlalu banyak pastinya kalau langganan iklan lagi pernah sekali langganan tapi tetap iklan Mohon di kurangin dan di perbaiki Emosi liat nya,Negatif,10/26/2024 3:32
2,Aplikasi GK jelas ini namanya apk nonton iklan bukan vidio kebanyakan iklan doanggg maaf saya kasih bintang 2 kalau bisa tolong iklanya di ilang in dikit,Negatif,10/26/2024 2:00
5,Ok,Positif,10/26/2024 0:15
5,Aplikasi ini bagus semaknin sukses,Positif,10/26/2024 0:06
1,"Aplikasi sampah, terlalu banyak iklan gak beraturan mana durasinya panjang banget, Lemot juga sering lag padahal jaringan bagus, Emang dasarnya Aplikasi ini cacat sampah nyesel download",Negatif,10/25/2024 21:28
1,Makin jelek aplikasi video sudah langganan tidak bisa nonton Liga inggris,Negatif,10/25/2024 19:57
1,bad,Negatif,10/25/2024 19:01
1,Up,Negatif,10/25/2024 15:46
4,Tolong ukuran download nya dikurangin 30 MB🙏,Positif,10/25/2024 15:25
1,Aplikasi sering nge bug dan nge lag Kadang gambar berhenti namun audio berjalan,Negatif,10/25/2024 14:03
2,Giliran iklan lancar banget. Giliran nonton filmnya diihh lemottnyaaa mintaaa di uninstalll,Negatif,10/25/2024 13:19
3,Ini gimna si belum masuk tgl penagihan malah lgsung di ambil otomatis kan saya habis paketnya tgl 26 sedangkan tgl 25 udh di ambil aneh bgt,Negatif,10/25/2024 12:49
3,sayang banget gak ada GTV padahal mau nonton haikyuu lohh,Negatif,10/25/2024 12:23
1,"g bgt apk ny sllu eror loading mlu, pdhl jaringan lancar kuota bnyk",Negatif,10/25/2024 11:27
5,"Film film, dan sinetron nya sangat seru",Positif,10/25/2024 11:27
5,Gw kasih bintang 🌟🌟🌟🌟🌟 karna gw suka nonton disini,Positif,10/25/2024 10:12
5,Ok,Positif,10/25/2024 10:04
5,Bagus,Positif,10/25/2024 9:39
5,Kuat dan aman,Positif,10/25/2024 9:32
1,Mana tayangan ulang full Indonesian dangdut awards di cari kok tidak ada,Negatif,10/25/2024 8:01
1,Sy sdh beli paket kenapa tidak bisa nonto live motogp mohon info caranya menonton live motogp,Negatif,10/25/2024 7:46
5,Hapus setidaknya bagus sekali mantap,Positif,10/25/2024 7:20
1,gsh di instal ges stres banyak iklan,Negatif,10/25/2024 4:22
5,Mantap boskuu,Positif,10/25/2024 4:08
2,"Sudah langganan berbayar untuk nonton LIVE MotoGP, tp tetep aja ada iklan diawal saat sebelum mulai. Ini jadi sangat mengganggu, karena kadang mau nonton balapan di menit menit akhir, buka chanelnya masih kepotong 15-20 dekit. Jadi sementara bintang 2 saja cukup ya.",Negatif,10/25/2024 2:26
5,Aplikasi terbaiklah menurut aku,Positif,10/25/2024 2:11
1,Nonton tv lokal aja mesti daftar,Negatif,10/24/2024 23:43
1,GA ADA FILM/CHANNEL BOKEPNYA. ANJG BUSUK LAH PERCUMA,Negatif,10/24/2024 20:04
1,"Gua mau beli paket liga inggris malah di arahin ke paketan nga jelas, terlanjur udah kebeli, baru bisa beli paket yg gua mau, sampah banget",Negatif,10/24/2024 20:00
5,Sip banget puasssssssssssssssssss,Positif,10/24/2024 19:55
3,"Bayar mahal2 nonton live macet2, harga naik terus ,tapi kualitas gak dibenerin, s4mpah.",Negatif,10/24/2024 19:21
1,SIARAN LU BURIK 💩,Negatif,10/24/2024 19:20
1,Iklannya lama bngt ga sejam aja tuh sekalian..!!,Negatif,10/24/2024 18:04
1,"minimal klo mau premium langganan hrus informasi dlu jangan asal tiba"" ke sedot sendiri lha ajg",Negatif,10/24/2024 17:59
5,Ok,Positif,10/24/2024 16:53
1,Lagi lagi iklan Masi mending YouTube mah klw begini,Negatif,10/24/2024 15:04
1,Error trsss,Negatif,10/24/2024 14:23
1,"Durasi dan interval iklan gak ngotak, kapitalis egois betul memang",Negatif,10/24/2024 14:07
1,Setiap masuk apk ada iklan,Negatif,10/24/2024 14:03
1,Ngeselin banyak iklan. Y dgn durasai lama bikin gw darting😡😡😡😡,Negatif,10/24/2024 13:39
2,Banyak banget iklannnya kurangin donk jngn banyak banget,Negatif,10/24/2024 13:38
5,Baik,Positif,10/24/2024 12:32
1,Sangat sangat sangat tidak memuaskan Mengecewakan slalu begini,Negatif,10/24/2024 12:08
2,Gk bisa ditonton,Negatif,10/24/2024 11:28
5,Aplikasi nya baik,Positif,10/24/2024 11:05
1,"paket premier sudah di aktifkan, namun tidak bisa di pakai nonton. sudah massage melalu email untuk membantu masalah namun tidak membantu masalah sma sekali. semua bukti transaksi yang di minta sudah saya kirim dan ya tidak ada membantu untuk menyelesaikan masalah. sangat mengecewakan membeli paket premier tapi tidak bisa di pakai nonton..",Negatif,10/24/2024 8:55
4,Puas,Positif,10/24/2024 8:52
1,Sinyal lancar tapi videonya patah patah !,Negatif,10/24/2024 8:36
3,"Mohon maaf ini Ninjago kartun populer kok gk ada ya , abis itu saya nyari yng ninjago versi movie nya jg gk ada, ini gmn ini itu kartun populer loh kok gk ada",Negatif,10/24/2024 6:54
5,kenapa sekarang harus ada pembayaran/ langganan,Negatif,10/24/2024 5:39
1,Makin diperbaharui makin kusut mending kaya dulu bisa milih kualitas 144-1080,Negatif,10/24/2024 4:59
1,"Udah bayar perbulan hampir 50rb malah gk bisa nonton, developer tolong perbaiki dong, jgn main uangnya aja!!",Negatif,10/24/2024 2:27
1,Gara² u 17 banyak yg ketipu,Negatif,10/24/2024 0:14
2,Tolong min ini kenapa kalo mau nonton live abis itu mau keluar malah ngestack di live dan apk nya ga bisa ngapain² tolong perbaiki ini min 🙏🙏kalo udah di perbaiki ntar kasih bintang 5,Negatif,10/23/2024 23:42
1,"SAYA ADA KENDALA DALAM PENAYANGAN,TAPI PERTANYAAN & JAWABAN CS EMAIL TERLALU BERTELE2, BERULANG, BOLAK-BALIK, DENGAN SOLUSI CETEK,GANTI PROVIDER, PADAHAL SUDAH DIJELASKAN,SEBELUMNYA SAYA MASIH BISA NONTON PAKE HP INI,KARTU INI,WIFI INI..SAYA NYESEL UDAH PERPANJANG LANGGANAN TAPI TIDAK BISA NONTON",Negatif,10/23/2024 21:39
5,Serial FTV nya di tayangkan terus,Positif,10/23/2024 18:39
1,"udh beli yg gold ternyata ga bisa nonton movie,,, kecewa",Negatif,10/23/2024 15:23
1,"Kalo ngk becus nyiarin Indonesia u 17 ngk ush di ambil, percuma member siaran nya ngk ada....",Negatif,10/23/2024 15:10
1,Siaran tinmas gak bisa diputar bangke percuma berlangganan,Negatif,10/23/2024 15:09
1,Udah beli paket Indonesia vs Kuwait ternyata tidak di siarkan disini aisss payah,Negatif,10/23/2024 15:01
1,Ini gimana konsep nya saya sudah beli paket tidak bisa buat nonton live timnas berlaga di AFC,Negatif,10/23/2024 14:58
1,Aplikasi goblog,Negatif,10/23/2024 14:52
5,sangat bagus,Positif,10/23/2024 14:44
1,Tidak dpt notifikasi atau peringatan terlebih dahulu jika melakukan kesalahan spt lupa saat login kelebihan device. Tapi langsung suspend dan akunnya hilang. Padahal sudah punya akun dan bayar 1 juta. Kecewa sekali.,Negatif,10/23/2024 14:24
1,ngak bisa login berulang2,Negatif,10/23/2024 13:15
1,"Bisa TDK itu ratu adil dibanned,setiap mau buka bola ituvidio nongol trus",Negatif,10/23/2024 13:03
1,Kualitas video yang buruk,Negatif,10/23/2024 12:29
4,"Saran bisa pilih shortcut di tampilan utama, jadi semisal mau nonton serie a ngga perlu nyari2 lagi ke kategori sport",Negatif,10/23/2024 12:13
1,Sering error,Negatif,10/23/2024 12:11
2,gabisa beli paket mahasiswa,Negatif,10/23/2024 11:15
1,Parah duit diambil .langganan tidak dikasihkan,Negatif,10/23/2024 11:03
1,"Saya udh isi kuota 100gb Udah daftar juga untuk semua video udh di bayar, tapi aslii dari semua apk video menurutku ini yg paling buruk .. Iklan gak beraturan, kebanyakan jeda & lemot gak tau knpa.",Negatif,10/23/2024 9:24
5,"Suka, dan ternyata paketnya premiernya berlaku di pc. Cuma sayangnya liga inggris tidak tersedia. Tapi nonton di web buffering.",Negatif,10/23/2024 9:23
4,Bagus,Positif,10/23/2024 8:52
1,Videonya lambat,Negatif,10/23/2024 8:33
4,Tolong dong pihak Vidio kok sekarang loadingnya kalau mau nonton siaran langsung kok lambat ya.... padahal sinyal hp saya stabil,Negatif,10/23/2024 8:27
5,"singkat,padat, seru",Positif,10/23/2024 6:10
1,"Aplikasi makin parah, tayangan epl buffering ditonton semenit sudah ngelag muter muter dan kualitas tontonannya rendah bgitu distel ke kualitas yg lebih tinggi, ngelag muter2 lagi. Dan begitu seterusnya.",Negatif,10/23/2024 4:30
5,DAMANARA,Positif,10/23/2024 4:01
5,seru😑,Positif,10/23/2024 3:56
1,"Aplikasi yg sangat mengecewakan.. Tiap Minggu pasti update, dan setelah update pasti error, buat kecewa aja.. Gk layak dapat bintang sama sekali.",Negatif,10/23/2024 3:43
1,Di videonya si 18+ kok pas di tayangin jadi ada sensor sii haduhh,Negatif,10/23/2024 3:17
1,Kenapa langganan bayar pake pulsa gabisa??,Negatif,10/23/2024 3:06
1,Format iklannya mengganggu banget. Sangat menggangu,Negatif,10/23/2024 1:16
2,Wifi kenceng tapi loading teroos.,Negatif,10/23/2024 0:49
1,"Susah langganan, error pembayaran terus",Negatif,10/23/2024 0:24
5,"Sangat baik, banyak update film terbaru bisa menghibur di saat libur kerja",Positif,10/22/2024 23:07
1,"Sinyal penuh tpi di layar tertera""yah,tayangan ini tidak bisa di putar"" tpi suara ada",Negatif,10/22/2024 21:19
5,Luar biasa dalam hal Segala Apapun,Positif,10/22/2024 21:15
1,Yesel,Negatif,10/22/2024 20:45
5,Ok,Positif,10/22/2024 19:51
2,"Rabu, 23 Oktober 2024 (02.00 WIB) Halaman black screen ketika akan masuk ke program siaran UCL.",Negatif,10/22/2024 19:10
5,Bagus bisa lihat sinetron favorit Tp sayang gk ada film bollywood nya,Negatif,10/22/2024 18:14
1,"Baru bayar paket diamond padahal ,tapi langsung kadaluarsa ngak bisa nonton sport sama sekali",Negatif,10/22/2024 17:28
1,"katanya kalo berlangganan bebas iklan, tapi tetap aja ada iklannya, ga jelas sistemnya",Negatif,10/22/2024 16:25
1,Tolong diperbaiki masalah jaringan saat nonton film tiba tiba lagi terus,Negatif,10/22/2024 13:49
2,Capek bgt mau nonton tampilannya hitam doang.. Movie ataupun live streaming begitu juga. 2x begini. Tolong dong di perbaikin layanannya. Coba ada pertandingan live penting terus masih begini. Ampunnn dah.,Negatif,10/22/2024 12:59
5,Dibantu admin...akun saya tidak aktif dan gagal login...kenapa ya..padahal masih ada paketnya.....,Negatif,10/22/2024 12:41
4,Kok apk saya tdak bisa conect ke tv,Negatif,10/22/2024 12:37
5,Siip...,Positif,10/22/2024 12:30
1,"Hay kak bisa di kasih rctii GK kak""saya suka acara di rcti",Negatif,10/22/2024 12:10
5,Oooook,Positif,10/22/2024 11:23
1,"Minta upgrade. Setelah upgrade makin parah lemot nya. Jaringan wifi stabil, bar full. 👎",Negatif,10/22/2024 11:00
1,"Udah bertahun-tahun langganan, update terakhir malah bikin kacau, nggak bisa nonton sepakbola sama voli dah",Negatif,10/22/2024 10:08
1,berkedok gratis malah minta bayar bulanan,Negatif,10/22/2024 9:35
2,Udah bbrp kali prpanjng langganan dan payment dah di deduct dr sh****pay tp ga bs nonton yg platinum..kesal bats,Negatif,10/22/2024 9:19
2,"Apa apa harus bayar, nonton livoli aja bayar",Negatif,10/22/2024 7:26
1,"Kebanyakan iklan film cmn 24 menit jadinya 1 jam, 36 menitnya iklan smua",Negatif,10/22/2024 6:27
1,Video kok gak bisa di putar aneh banget,Negatif,10/22/2024 6:20
2,mahal paketnya. layanan yg kepake cuma liga1 sama premier league,Negatif,10/22/2024 5:25
1,"no komen sih, apk nya emang gajelas banget patesan ratingnya 3,3 gapernah ada perbaikan gitu?",Negatif,10/21/2024 19:05
1,"Ga jelas padahal akun udah premium ga gratisan lagi ya tapi filmnya ke ulang"" trus kan jadi keganggu gimana mau tamat film nontonnya ke ulang"" trs cape muterin truss udah kirim laporan seringkali tapi gada perbaikannya gitu mending unistal banyak adegan yang ke skip trs balik lg ke awal emosi bgt nontonnya",Negatif,10/21/2024 16:15
5,Bisa nuntun apa aja nih,Positif,10/21/2024 13:46
5,Ok. Banget bisa mudah nonton dihp,Positif,10/21/2024 13:19
5,oke bngt,Positif,10/21/2024 13:01
5,Kalau MotoGP di trans7.tidak mau main,Positif,10/21/2024 12:37
5,Filem nya Bagus bagus,Positif,10/21/2024 11:38
2,"Oke sih, tapi paket premiere league terlalu mahal",Negatif,10/21/2024 11:03
1,Aplikasi gagal,Negatif,10/21/2024 11:01
1,"udah premium masi iklan aja, mana iklan nya setiap 5 menit🤣",Negatif,10/21/2024 10:34
5,Bagusssssssss,Positif,10/21/2024 10:00
1,sangat tidak bagus,Negatif,10/21/2024 7:14
1,Aplikasi kacau,Negatif,10/21/2024 7:00
1,"Saya mau upgrade paket dari platinum ke diamond aza kagak bisa , padahal jelas kalo mau diamond harus ke platinum dulu... Kocak emang",Negatif,10/21/2024 4:38
1,"Premium kok banyak iklannya dan lama-lama durasinya, payah!",Negatif,10/21/2024 1:10
1,"sampah banget ni aplikasi asli, orang udah langganan khusus nonton la liga tapi gadisediain replay full match nya malah harus nunggu siaran ulang nya sesuai jadwal tv. Najis gabecus dasar ngelola hak siar nya udah bayar tapi masih dipersulit cuih",Negatif,10/21/2024 0:09
5,Baguss bangatt gk nyesel akkkk,Positif,10/20/2024 21:37
1,"Aplikasi bisnis, mau nonton bayar dulu",Negatif,10/20/2024 18:20
1,udh download mlah suruh langganan. ....,Negatif,10/20/2024 17:36
3,"Kenapa delay saat nonton sepak bola siaran langsung, kadang 30 detik, kadang 6 detik",Negatif,10/20/2024 17:08
